time,gFx,gFy,gFz,TgF
4.04355,-0.0149,-0.1554,0.9501,0.96
4.059715,-0.041,-0.1317,0.9604,0.97
4.080375,-0.0342,-0.064,0.9262,0.93
4.09478,0.0086,-0.0266,0.9914,0.99
4.125182,0.0257,-0.0088,0.9833,0.98
4.143078,0.0569,-0.0015,1.018,1.02
4.163922,0.0985,-0.0064,1.0105,1.02
4.181776,0.0801,-0.0242,1.0163,1.02
4.195615,0.0542,-0.0547,1.0031,1.01
4.226878,-0.0032,-0.1158,0.9496,0.96
4.242981,-0.0064,-0.1114,0.9369,0.94
4.259689,-0.0049,-0.0833,0.9694,0.97
4.281241,0.0381,-0.0469,0.9789,0.98
4.296065,0.0643,-0.0093,1.0058,1.01
4.326799,0.0586,0.0594,1.0017,1.01
4.343731,0.0379,0.0625,1.0141,1.02
4.365442,0.053,0.0391,0.9589,0.96
4.376911,-0.0029,0.0501,0.9411,0.94
4.409627,0.1173,0.0281,0.9953,1
4.427539,0.0496,0.0181,1.0017,1
4.444784,0.0086,-0.0088,1.0148,1.01
4.460845,0.0242,-0.0386,1.0214,1.02
4.483669,0.0068,-0.0503,1.0039,1.01
4.510934,0.002,-0.0247,0.9894,0.99
4.52706,0.0178,-0.0154,0.9784,0.98
4.544769,0.0271,-0.0029,0.9706,0.97
4.560899,0.0247,-0.0024,0.9758,0.98
4.582336,0.0137,-0.0183,0.9999,1
4.611459,0.0486,-0.0335,1.0014,1
4.627363,0.0586,-0.0381,0.9892,0.99
4.644431,0.0603,-0.0332,0.9951,1
4.667045,0.0618,-0.0235,0.9731,0.98
4.679103,0.0489,-0.0139,0.9621,0.96
4.711119,0.0418,-0.0083,0.9819,0.98
4.727597,0.0359,-0.0203,0.9985,1
4.745849,0.0337,-0.0344,0.9987,1
4.762789,0.0418,-0.0261,0.9682,0.97
4.782047,0.0821,-0.01,0.964,0.97
4.812012,0.0594,-0.0293,0.9765,0.98
4.829377,0.0244,-0.0337,0.974,0.97
4.84561,0.034,-0.0364,1.0188,1.02
4.866429,0.0288,-0.044,0.9855,0.99
4.895096,0.0112,-0.0332,0.9843,0.98
4.912963,0.0049,-0.0315,0.9882,0.99
4.92875,0.0081,-0.0325,0.9819,0.98
4.94609,0.0171,-0.0359,0.9858,0.99
4.968631,0.0117,-0.0371,0.9916,0.99
4.982143,0.0086,-0.0362,0.9948,1
5.01173,0.0225,-0.0244,0.9887,0.99
5.028731,0.0335,-0.0186,0.967,0.97
5.045578,0.0452,-0.0235,0.9826,0.98
5.064833,0.034,-0.0413,0.9787,0.98
5.09556,0.0386,-0.0298,0.997,1
5.113303,0.0379,-0.0217,1.0041,1.01
5.130074,0.0403,-0.0107,0.988,0.99
5.145572,0.042,-0.0115,0.9789,0.98
5.166769,0.0606,-0.0208,0.9955,1
5.195448,0.0723,-0.0362,0.9885,0.99
5.21362,0.054,-0.0308,0.9816,0.98
5.228624,0.043,-0.0271,0.9816,0.98
5.246654,0.0406,-0.0308,0.9892,0.99
5.266087,0.0305,-0.0325,0.9848,0.99
5.29673,0.0203,-0.0244,0.9868,0.99
5.31371,0.0205,-0.0225,0.9828,0.98
5.329531,0.0252,-0.0252,0.9828,0.98
5.347104,0.0303,-0.0286,0.9797,0.98
5.385412,0.0151,-0.0227,0.9621,0.96
5.397114,0.0266,-0.0281,0.9811,0.98
5.413643,0.0291,-0.0269,1.0598,1.06
5.430018,0.0015,-0.0171,1.0188,1.02
5.448056,0.0024,-0.0059,0.902,0.9
5.482679,0.0322,-0.0269,0.9706,0.97
5.497347,0.0445,-0.031,0.9477,0.95
5.514211,0.0562,-0.0276,1.0053,1.01
5.531773,0.054,-0.0296,1.0117,1.01
5.569199,0.055,-0.0342,1.0026,1
5.569756,0.055,-0.0342,1.0026,1
5.597374,0.0366,-0.0393,0.9985,1
5.614166,0.0259,-0.0369,0.9824,0.98
5.631748,0.0235,-0.03,0.9765,0.98
5.66854,0.0347,-0.0308,0.987,0.99
5.681837,0.0362,-0.0327,0.9816,0.98
5.697827,0.0362,-0.0327,0.9846,0.99
5.71548,0.0384,-0.032,0.9836,0.98
5.749103,0.0237,-0.0252,0.9579,0.96
5.766656,0.0337,-0.0235,0.9804,0.98
5.788434,0.0286,-0.0293,1.0073,1.01
5.801443,0.0249,-0.0342,1.0019,1
5.815562,0.0269,-0.0332,0.9853,0.99
5.849108,0.0322,-0.034,0.9987,1
5.866543,0.0347,-0.0349,0.9814,0.98
5.886458,0.0327,-0.033,0.985,0.99
5.902001,0.0342,-0.0327,0.9775,0.98
5.915328,0.0379,-0.0318,0.9894,0.99
5.935359,0.0352,-0.0283,0.9958,1
5.972367,0.0366,-0.0291,0.9868,0.99
5.98583,0.0357,-0.0286,0.9902,0.99
6.016189,0.0354,-0.0325,0.9853,0.99
6.03431,0.0352,-0.0313,0.9863,0.99
6.050491,0.034,-0.0313,0.989,0.99
6.071039,0.0344,-0.031,0.9872,0.99
6.083247,0.0344,-0.032,0.986,0.99
6.100387,0.0357,-0.0298,0.9882,0.99
6.132792,0.0313,-0.0305,0.9804,0.98
6.15054,0.0286,-0.0303,0.9865,0.99
6.170599,0.033,-0.0332,0.9916,0.99
6.182968,0.0296,-0.0327,0.976,0.98
6.216994,0.0376,-0.0354,1.007,1.01
6.234099,0.0344,-0.0352,0.9501,0.95
6.250819,0.0371,-0.0259,0.9758,0.98
6.273665,0.0374,-0.0286,0.9999,1
6.287238,0.0347,-0.0261,0.9697,0.97
6.317639,0.0374,-0.0305,1.0083,1.01
6.334314,0.0374,-0.0398,0.9968,1
6.350499,0.0332,-0.0401,0.9921,0.99
6.3743,0.0308,-0.042,0.9914,0.99
6.387791,0.0303,-0.0391,0.9882,0.99
6.418142,0.0357,-0.0362,0.9882,0.99
6.434002,0.034,-0.033,0.9848,0.99
6.45191,0.0364,-0.0349,0.9816,0.98
6.468974,0.0391,-0.033,0.9714,0.97
6.489229,0.0342,-0.0303,1.0051,1.01
6.518334,0.0362,-0.032,0.977,0.98
6.534792,0.0364,-0.032,0.9951,1
6.552118,0.0388,-0.0335,1.0034,1
6.567788,0.0376,-0.034,0.9958,1
6.590604,0.0344,-0.0318,0.9899,0.99
6.617465,0.0342,-0.0366,0.9865,0.99
6.635393,0.0352,-0.034,0.9843,0.99
6.651871,0.032,-0.0371,0.9848,0.99
6.672202,0.0342,-0.0344,0.9821,0.98
6.702293,0.0313,-0.0315,0.9912,0.99
6.718286,0.034,-0.0308,0.9838,0.98
6.735862,0.0349,-0.0308,0.9841,0.99
6.751898,0.0352,-0.0313,0.9887,0.99
6.775312,0.0344,-0.0325,0.9828,0.98
6.803118,0.031,-0.0322,0.9882,0.99
6.819577,0.034,-0.0298,0.988,0.99
6.836288,0.034,-0.0325,0.9904,0.99
6.85252,0.0344,-0.0315,0.9868,0.99
6.873931,0.0366,-0.0347,0.986,0.99
6.889307,0.0347,-0.032,0.9868,0.99
6.91966,0.0313,-0.032,0.9838,0.98
6.936885,0.033,-0.0318,0.9797,0.98
6.952968,0.0366,-0.0298,0.9868,0.99
6.985649,0.0313,-0.032,0.9797,0.98
7.009471,0.0393,-0.0332,1.0056,1.01
7.01851,0.0408,-0.0357,1.0065,1.01
7.035648,0.0366,-0.0359,0.9504,0.95
7.053588,0.0398,-0.0249,0.9719,0.97
7.069731,0.0415,-0.0271,1.0085,1.01
7.106021,0.0332,-0.0266,0.9926,0.99
7.119673,0.0362,-0.0342,1.0078,1.01
7.136555,0.0325,-0.0384,0.9965,1
7.153856,0.0293,-0.0388,0.9933,0.99
