time,gFx,gFy,gFz,TgF
0.002498,-0.0039,0.9863,0.1842,1.00
0.029425,0.0083,0.9970,0.1371,1.01
0.043222,0.0244,1.0039,0.1422,1.01
0.062998,0.0117,1.0068,0.1143,1.01
0.076400,-0.0005,0.9997,0.1180,1.01
0.110127,0.0034,0.9963,0.1527,1.01
0.126518,-0.0022,0.9960,0.1368,1.01
0.143279,0.0002,0.9965,0.1437,1.01
0.163004,0.0000,0.9902,0.1480,1.00
0.177690,0.0059,0.9933,0.1312,1.00
0.210456,0.0093,1.0017,0.1349,1.01
0.226861,0.0144,1.0097,0.1163,1.02
0.243874,0.0066,0.9843,0.1300,0.99
0.263706,0.0093,0.9828,0.1358,0.99
0.276744,0.0261,0.9843,0.1373,0.99
0.310504,0.0132,0.9694,0.1046,0.98
0.329218,0.0247,0.9469,0.1212,0.95
0.343168,0.0298,0.9628,0.0938,0.97
0.360673,0.0320,0.9457,0.0862,0.95
0.379391,0.0178,0.9342,0.0799,0.94
0.410409,0.0137,0.9418,0.0843,0.95
0.427729,0.0271,0.9645,0.0708,0.97
0.445056,0.0330,0.9582,0.0562,0.96
0.461478,0.0213,0.9335,0.0643,0.94
0.480855,0.0132,0.8976,0.0513,0.90
0.511240,0.0081,0.8680,0.0137,0.87
0.528669,-0.0042,0.8529,-0.0276,0.85
0.545014,-0.0362,0.8238,-0.0398,0.83
0.561336,-0.0432,0.8126,-0.0616,0.82
0.584936,-0.0117,0.8414,-0.0691,0.84
0.603258,0.0103,0.8685,-0.0701,0.87
0.629196,0.0015,0.8380,-0.0186,0.84
0.645941,-0.0178,0.8424,-0.0511,0.84
0.667341,-0.0489,0.8797,-0.0562,0.88
0.684710,-0.0447,0.9528,-0.0806,0.96
0.712838,-0.0081,0.9555,-0.1429,0.97
0.729019,0.0147,0.8350,-0.0567,0.84
0.748609,0.0264,0.7769,-0.0938,0.78
0.763859,0.0257,0.8287,-0.1422,0.84
0.795047,-0.0178,0.9118,-0.1693,0.93
0.812171,-0.0015,0.9081,-0.1979,0.93
0.829284,0.0850,0.9137,-0.2253,0.94
0.845772,0.1090,0.9171,-0.2321,0.95
0.867556,0.0809,0.9694,-0.2514,1.00
0.887384,0.0046,1.0319,-0.2680,1.07
0.913070,-0.0335,1.0806,-0.3191,1.13
0.929552,-0.0115,1.0447,-0.3073,1.09
0.947499,0.0139,0.9909,-0.2734,1.03
0.985748,0.0508,1.0478,-0.3520,1.11
0.986945,0.0476,1.0505,-0.3616,1.11
1.013159,0.0239,0.9528,-0.2963,1.00
1.030276,-0.0166,0.8986,-0.2670,0.94
1.047702,-0.0034,0.9115,-0.2880,0.96
1.086087,0.0599,1.0002,-0.4036,1.08
1.102241,0.0484,1.0002,-0.3899,1.07
1.113429,0.0313,1.0007,-0.3884,1.07
1.131154,0.0186,1.0307,-0.4170,1.11
1.148105,0.0472,1.0718,-0.4258,1.15
1.169312,0.0628,1.1355,-0.4407,1.22
1.196756,0.0479,1.1876,-0.4593,1.27
1.214284,0.0110,1.1614,-0.3994,1.23
1.231585,0.0078,1.1043,-0.3327,1.15
1.247884,0.0112,1.1016,-0.2533,1.13
1.269765,0.0362,1.2760,-0.2150,1.29
1.298059,0.0740,1.3386,-0.1485,1.35
1.315198,0.0655,1.2188,-0.1063,1.23
1.331331,0.0508,1.1404,-0.0777,1.14
1.349164,0.0230,1.1424,-0.0733,1.14
1.386841,0.0249,1.1612,-0.0286,1.16
1.403471,0.0303,1.1431,0.0164,1.14
1.415770,-0.0208,1.0735,0.0459,1.07
1.431913,-0.0032,1.0361,0.0750,1.04
1.449478,0.0100,0.9924,0.1048,1.00
1.486516,-0.0276,0.9467,0.1410,0.96
1.501588,-0.0176,0.9328,0.1368,0.94
1.516059,0.0032,0.9245,0.1405,0.94
1.532094,0.0159,0.9149,0.1495,0.93
1.565336,0.0528,0.9357,0.1419,0.95
1.587861,0.0528,0.9677,0.1715,0.98
