time,gFx,gFy,gFz,TgF
0.004770,0.0679,0.9907,0.1239,1.00
0.009434,0.0638,0.9904,0.1266,1.00
0.037434,0.0706,0.9767,0.1444,0.99
0.054857,0.0772,0.9828,0.1207,0.99
0.071418,0.1153,0.9870,0.1336,1.00
0.087658,0.1178,0.9799,0.1498,1.00
0.106744,0.0799,0.9992,0.0923,1.01
0.137681,0.0738,0.9916,0.1935,1.01
0.154082,0.0711,0.9736,0.1268,0.98
0.171797,0.0721,0.9846,0.1429,1.00
0.187742,0.0738,0.9704,0.1248,0.98
0.207191,0.0840,0.9616,0.1138,0.97
0.237799,0.0933,0.9401,0.1546,0.96
0.254477,0.0948,0.9381,0.1451,0.95
0.271498,0.0608,0.9428,0.1358,0.95
0.287935,0.0643,0.9462,0.1212,0.96
0.307249,0.0704,0.9711,0.0611,0.98
0.338081,0.0410,1.0183,0.0542,1.02
0.355310,0.0122,1.0305,0.0806,1.03
0.371856,0.0203,1.0148,0.1063,1.02
0.390964,0.0384,1.0017,0.1119,1.01
0.422082,0.0596,0.9965,0.1195,1.01
0.439140,0.0848,1.0161,0.1586,1.03
0.455708,0.0936,1.0166,0.1952,1.04
0.472183,0.0872,0.9946,0.2318,1.02
0.491234,0.0806,0.9802,0.2399,1.01
0.522213,0.1261,0.9853,0.1627,1.01
0.539265,0.1002,0.9838,0.0892,0.99
0.555975,0.1138,0.9719,0.0750,0.98
0.572164,0.1063,0.9430,0.1542,0.96
0.592382,0.0476,0.9345,0.1185,0.94
0.610645,0.0459,0.9723,0.1437,0.98
0.641286,0.0435,1.0234,0.0880,1.03
0.656651,0.0589,1.0075,0.1226,1.02
0.674284,0.0718,0.9467,0.1654,0.96
0.691728,0.0572,0.9164,0.1813,0.94
0.711460,0.0779,0.9369,0.1898,0.96
0.740356,0.0872,0.9357,0.0559,0.94
0.756851,0.0616,0.9091,0.0081,0.91
0.774129,0.0540,0.8925,0.0572,0.90
0.811842,-0.0750,0.9350,0.2204,0.96
0.826926,-0.0371,0.9689,0.2057,0.99
0.840483,0.0208,0.9797,0.1568,0.99
0.856852,0.0689,0.9931,0.1129,1.00
0.875440,0.0349,0.9868,0.0994,0.99
0.912316,0.0357,0.9482,0.1730,0.96
0.931728,0.1207,0.9352,0.1434,0.95
0.946615,0.1349,0.9381,0.0770,0.95
0.957187,0.1075,0.9401,0.0281,0.95
0.973996,0.0520,0.9210,0.0435,0.92
1.007932,-0.0220,0.9240,0.2272,0.95
1.023929,-0.0293,0.9611,0.0958,0.97
1.041670,-0.0452,1.0158,-0.0037,1.02
1.058528,-0.0574,1.0136,0.0408,1.02
1.075036,-0.0777,0.9462,0.0711,0.95
1.095378,-0.0508,0.8099,0.2042,0.84
1.124773,0.0518,0.8592,0.3943,0.95
1.141329,0.0743,0.9999,0.2094,1.02
1.159503,0.1024,1.1837,-0.0264,1.19
1.175455,0.1124,1.2667,-0.1429,1.28
1.213761,0.0928,1.0903,-0.0391,1.09
1.232644,0.1683,0.8944,0.1063,0.92
1.242320,0.2125,0.8473,0.1236,0.88
1.258682,0.2189,0.8612,0.0943,0.89
1.293123,0.3877,1.1013,0.1742,1.18
1.314203,0.3535,1.4561,-0.0557,1.50
1.330160,0.1908,1.6166,-0.2678,1.65
1.342368,0.0410,1.5416,-0.2585,1.56
1.358848,-0.0501,1.2990,-0.0826,1.30
1.392910,0.0257,0.8196,0.5551,0.99
1.415208,-0.0107,0.7495,0.5436,0.93
1.429577,0.0139,0.8473,0.3626,0.92
1.442311,0.0669,0.9626,0.2074,0.99
1.459756,0.1717,1.0693,0.0674,1.09
1.496930,0.1507,0.9501,0.1395,0.97
1.511263,0.1182,0.8851,0.1224,0.90
1.525946,0.1451,0.8744,0.0945,0.89
1.542770,0.2013,0.9127,0.0283,0.94
1.559990,0.1549,0.9208,0.0169,0.93
1.596952,0.0547,0.7710,0.3955,0.87
1.614129,0.0757,0.7867,0.2113,0.82
1.626168,0.1090,0.8465,0.1346,0.86
1.643620,0.0909,0.8939,-0.0332,0.90
1.660637,0.0701,0.8829,-0.0230,0.89
1.697635,0.0657,0.8394,0.2614,0.88
1.710772,0.1283,0.8546,0.1881,0.88
1.727693,0.2184,0.8839,0.0547,0.91
1.744092,0.1840,0.8971,0.0144,0.92
1.760489,0.1051,0.9335,0.0738,0.94
1.795606,0.1312,0.9904,0.3037,1.04
1.815020,0.1590,0.9420,0.3618,1.02
1.833543,0.0914,0.9181,0.3459,0.99
1.844667,0.0584,0.9247,0.2746,0.97
1.862011,0.0139,0.9794,0.1879,1.00
1.894557,-0.0169,1.2826,0.1581,1.29
1.917647,0.1263,1.4282,0.0010,1.43
1.933795,0.1708,1.3339,-0.0457,1.35
1.945709,0.0589,1.1529,-0.0811,1.16
1.978453,0.0999,0.8458,0.1361,0.86
1.995509,0.1578,0.7876,0.3196,0.86
2.017197,0.1085,0.7784,0.3682,0.87
2.033738,-0.0371,0.8641,0.2673,0.91
2.044047,-0.1341,0.9396,0.2272,0.98
2.078384,-0.1319,1.3823,0.0342,1.39
2.096107,0.0147,1.5521,-0.0806,1.55
2.116736,0.1502,1.4126,-0.0176,1.42
2.134332,0.1241,1.1001,-0.0264,1.11
2.146404,0.1138,0.9381,0.1537,0.96
2.178281,0.1688,0.8397,0.3770,0.94
2.199851,0.0853,0.9872,0.1236,1.00
2.215958,0.0296,1.0508,0.0200,1.05
2.228408,0.0039,1.0720,0.0259,1.07
2.246171,-0.0161,1.0669,0.1324,1.08
2.280493,-0.0337,0.9848,0.2145,1.01
2.296739,0.0020,0.9342,0.2103,0.96
2.319212,0.0081,0.8844,0.2157,0.91
2.338438,0.0281,0.8817,0.1561,0.90
2.346424,0.0366,0.8724,0.1407,0.88
2.379984,0.0684,0.8052,0.1300,0.82
2.397550,0.0823,0.7737,0.1803,0.80
2.417961,0.0213,0.7930,0.1942,0.82
2.437921,-0.0491,0.8775,0.1033,0.88
2.463240,-0.1290,0.9557,0.0300,0.96
2.480089,-0.0801,0.9269,0.1305,0.94
2.496381,0.0159,0.7962,0.3801,0.88
2.517921,-0.0337,0.8016,0.3296,0.87
2.538846,-0.1285,1.0784,0.0545,1.09
2.563686,-0.0220,1.1248,-0.0545,1.13
2.580458,0.1688,0.9462,0.1429,0.97
2.597817,0.2678,0.7857,0.3120,0.89
2.631278,0.0936,1.0095,0.0811,1.02
2.647694,0.0647,1.0363,-0.0056,1.04
2.663626,0.1346,0.9613,0.2060,0.99
2.679796,0.1637,0.8248,0.4578,0.96
2.701068,0.2003,0.8089,0.5113,0.98
2.717318,0.2162,1.0534,0.3577,1.13
2.747792,0.0745,1.6505,-0.3437,1.69
2.765291,-0.1573,1.6400,-0.2941,1.67
2.780747,-0.0855,1.3530,-0.1063,1.36
2.801096,0.2487,0.8773,0.0606,0.91
2.816148,0.3464,0.7461,0.1437,0.84
2.849140,0.2167,0.9247,0.1837,0.97
2.864332,0.1153,0.9794,0.2113,1.01
2.881251,0.0584,0.9980,0.2658,1.03
2.901283,0.1415,1.0830,0.0894,1.10
2.919095,0.2121,1.2057,-0.0999,1.23
2.948074,0.2094,1.1927,-0.0687,1.21
2.964924,0.2094,1.0300,0.1434,1.06
2.983405,0.1512,0.9403,0.3858,1.03
2.998358,0.0796,0.9455,0.3511,1.01
3.019954,-0.0528,1.0295,0.2231,1.05
3.048025,-0.1090,0.9416,0.0274,0.95
3.066273,-0.0391,0.8343,0.0997,0.84
3.082632,0.0244,0.8057,0.0970,0.81
3.098708,0.1217,0.8534,0.1212,0.87
3.118363,0.1981,0.9166,0.1073,0.94
3.139277,0.1796,0.8822,0.1268,0.91
3.165823,0.1588,0.7752,0.2531,0.83
3.182869,0.1292,0.7691,0.2595,0.82
3.205070,0.0745,0.8192,0.1156,0.83
3.225585,0.0222,0.9247,0.1178,0.93
3.249165,0.0362,0.8822,0.2551,0.92
3.266677,0.0948,0.8187,0.3296,0.89
3.283797,0.1622,0.8355,0.1849,0.87
3.302296,0.2172,0.9880,-0.0496,1.01
3.321921,0.1554,1.0505,0.0247,1.06
3.350091,0.0535,0.8485,0.4634,0.97
3.365966,0.0142,0.7864,0.3406,0.86
3.384296,0.0584,0.9188,0.1192,0.93
3.403675,0.0584,1.1443,0.0342,1.15
3.423079,0.0264,1.2660,0.0134,1.27
3.450803,-0.0076,1.1453,0.0667,1.15
3.467190,0.0445,0.9909,-0.0056,0.99
3.484369,0.0867,0.9330,0.0591,0.94
3.504197,0.1063,1.0894,0.2758,1.13
3.521117,0.1134,1.3166,0.1126,1.33
3.550229,-0.0129,1.4485,0.0953,1.45
3.566675,-0.0171,1.3549,0.0941,1.36
3.583450,-0.0557,1.1656,0.1979,1.18
3.604152,-0.0107,0.9662,0.3235,1.02
3.624237,0.1256,0.9814,0.3975,1.07
3.651447,0.2106,0.9880,0.3071,1.06
3.667137,0.1879,0.9457,0.1867,0.98
3.685670,0.0340,0.9254,0.1058,0.93
3.723423,-0.1121,1.0131,0.0171,1.02
3.738457,-0.0533,0.9740,0.0699,0.98
3.751291,0.0115,0.8998,0.1459,0.91
3.767365,0.0662,0.8153,0.1972,0.84
3.784900,0.0572,0.8018,0.1412,0.82
3.810023,0.0183,0.8113,0.0875,0.82
3.834776,-0.0144,0.7564,0.1600,0.77
3.852863,0.0000,0.7598,0.2221,0.79
3.868638,0.0484,0.8135,0.2338,0.85
3.884443,0.0616,0.8565,0.1654,0.87
3.905741,0.0271,0.8810,0.0809,0.89
3.927206,0.0330,0.8600,0.1881,0.88
3.951509,-0.0437,0.9210,0.0965,0.93
3.968665,-0.0388,1.0205,0.0836,1.02
3.985137,0.0034,0.9907,0.2150,1.01
4.026182,0.1016,1.0158,0.1331,1.03
4.035265,0.1266,1.0837,0.0699,1.09
4.052472,0.1480,1.2306,0.1239,1.25
4.085518,0.1366,1.1954,0.0994,1.21
4.108409,-0.0322,1.1834,0.0354,1.18
4.124917,-0.0701,1.1253,-0.0381,1.13
4.136165,-0.0002,1.1121,0.0669,1.11
4.153752,0.1586,1.0938,0.1287,1.11
4.186862,0.2763,1.1446,0.1769,1.19
4.202983,0.2191,1.2083,0.0215,1.23
4.226931,0.1630,1.1177,-0.0349,1.13
4.248245,0.2287,1.0527,0.1212,1.08
4.268596,0.1986,1.0598,0.1542,1.09
4.286748,0.0562,1.0964,0.1632,1.11
4.303089,-0.0525,1.1055,0.1845,1.12
4.323835,-0.0547,1.0613,0.1378,1.07
4.338108,0.0195,1.0393,0.0782,1.04
4.369131,0.2270,0.9736,0.1112,1.01
4.386533,0.2235,0.8946,0.2079,0.95
4.406523,0.0955,0.8216,0.2929,0.88
4.423157,0.0046,0.8084,0.2880,0.86
4.435847,-0.0205,0.8336,0.1573,0.85
4.471025,0.1256,0.9249,0.0506,0.93
4.486484,0.1529,0.8824,0.0518,0.90
4.508514,0.1026,0.7583,0.2228,0.80
4.526478,0.0459,0.7146,0.1793,0.74
4.537106,0.0459,0.7305,0.1378,0.74
4.571824,0.0200,0.8426,-0.0877,0.85
4.587293,0.0215,0.8612,-0.0867,0.87
4.608191,0.0770,0.8656,0.0611,0.87
4.624931,0.1055,0.8841,0.1986,0.91
4.655129,0.0899,0.8903,0.2851,0.94
4.671357,0.0320,0.9247,0.1507,0.94
4.687431,0.0125,0.9919,-0.0020,0.99
4.709090,0.1419,1.0955,0.0293,1.11
4.728139,0.2995,1.0657,0.2768,1.14
4.754743,0.1473,0.9569,0.4400,1.06
4.771417,-0.1280,1.0410,0.2147,1.07
4.789215,-0.1803,1.2599,-0.0669,1.27
4.804909,0.0906,1.3908,-0.2042,1.41
4.827085,0.4556,1.2166,-0.1913,1.31
4.845321,0.0963,0.9401,0.0860,0.95
4.871838,-0.2538,0.8341,0.3516,0.94
4.889162,-0.1246,1.0679,0.0643,1.08
4.905106,0.0855,1.3244,-0.0870,1.33
4.926108,0.1432,1.4399,-0.2338,1.47
4.946876,0.0415,1.2658,0.0884,1.27
4.971457,0.0579,0.9897,0.4517,1.09
4.988982,0.0115,0.9843,0.2103,1.01
5.009084,0.0616,1.0679,0.1742,1.08
5.030724,0.1466,1.0681,0.1107,1.08
5.055240,0.1813,0.9687,0.1461,1.00
5.073706,0.0870,0.9596,0.0677,0.97
5.089597,0.0259,1.0068,-0.0225,1.01
5.110767,0.0809,1.0180,-0.0352,1.02
5.130871,0.1427,0.8951,0.0772,0.91
5.155437,0.1156,0.7593,0.1102,0.78
5.173037,0.0469,0.7495,0.1422,0.76
5.190507,0.0535,0.7647,0.1170,0.78
