time,gFx,gFy,gFz,TgF
0.004456,-0.0171,1.0119,-0.0169,1.01
0.017490,-0.0215,1.0085,-0.0042,1.01
0.043131,-0.0279,1.0002,0.0120,1.00
0.059377,-0.0347,1.0021,0.0122,1.00
0.079318,-0.0344,1.0090,0.0159,1.01
0.109007,-0.0386,1.0122,0.0176,1.01
0.126432,-0.0388,1.0048,0.0193,1.01
0.143194,-0.0347,1.0031,0.0237,1.00
0.159542,-0.0354,1.0017,0.0320,1.00
0.179425,-0.0442,1.0031,0.0545,1.01
0.196215,-0.0491,0.9936,0.0621,1.00
0.226718,-0.0528,0.9953,0.0479,1.00
0.243080,-0.0520,0.9987,0.0388,1.00
0.260660,-0.0528,0.9987,0.0364,1.00
0.276920,-0.0520,0.9973,0.0386,1.00
0.309711,-0.0520,1.0131,0.0469,1.02
0.327207,-0.0489,1.0021,0.0486,1.00
0.343292,-0.0425,0.9970,0.0506,1.00
0.360918,-0.0457,0.9953,0.0467,1.00
0.377717,-0.0533,0.9965,0.0423,1.00
0.411000,-0.0603,1.0021,0.0418,1.00
0.427283,-0.0599,0.9987,0.0484,1.00
0.443748,-0.0625,1.0046,0.0547,1.01
0.460963,-0.0621,1.0014,0.0454,1.00
0.497810,-0.0586,1.0087,0.0322,1.01
0.513320,-0.0643,1.0146,0.0313,1.02
0.527840,-0.0562,1.0109,0.0520,1.01
0.545734,-0.0577,1.0166,0.0647,1.02
0.561578,-0.0508,1.0183,0.0599,1.02
0.583845,-0.0384,1.0080,0.0450,1.01
0.611111,-0.0322,0.9797,0.0393,0.98
0.628335,-0.0440,0.9682,0.0577,0.97
0.645479,-0.0528,0.9743,0.0750,0.98
0.662084,-0.0511,0.9814,0.0858,0.99
0.684036,-0.1964,1.0224,0.0061,1.04
0.711716,-0.0376,0.9770,0.0899,0.98
0.728461,-0.0291,1.0007,0.0792,1.00
0.746100,0.0432,1.0224,0.0733,1.03
0.784823,0.1373,1.0056,0.0000,1.01
0.785496,0.1373,1.0056,0.0000,1.01
0.804525,0.1600,0.9684,-0.0271,0.98
0.829564,0.1766,0.9645,0.0081,0.98
0.845805,0.1522,0.9574,0.0398,0.97
0.879917,0.1241,1.0938,0.1253,1.11
0.900431,0.0115,1.1018,0.0811,1.10
0.921872,-0.0618,1.0884,0.0169,1.09
0.929131,-0.0740,1.0862,0.0056,1.09
0.963287,-0.0728,1.0344,0.0706,1.04
0.980380,-0.0049,0.9929,0.1204,1.00
1.001343,0.1349,0.9486,0.1148,0.97
1.017375,0.2223,0.9298,0.0845,0.96
1.029920,0.2529,0.9323,0.0701,0.97
1.064080,0.1849,0.9719,0.0708,0.99
1.081090,0.1268,0.9816,0.0745,0.99
1.100493,0.0640,0.9897,0.0906,1.00
1.119775,0.0384,0.9919,0.0909,1.00
1.130273,0.0457,0.9853,0.0884,0.99
1.163922,0.1033,0.9530,0.0574,0.96
1.181113,0.1207,0.9538,0.0645,0.96
1.202772,0.1197,0.9821,0.0713,0.99
1.227461,0.1077,1.0214,0.0845,1.03
1.235780,0.0994,1.0251,0.0928,1.03
1.263008,0.0743,1.0175,0.1080,1.03
1.280142,0.0606,1.0412,0.1175,1.05
1.300330,0.0618,1.0437,0.1251,1.05
1.312994,0.0708,1.0388,0.1307,1.05
1.347706,0.1449,1.0205,0.1163,1.04
1.363883,0.1671,1.0232,0.1334,1.05
1.381786,0.1537,1.0505,0.1476,1.07
1.402066,0.1327,1.0815,0.1322,1.10
1.420758,0.1087,1.0942,0.0344,1.10
1.447467,0.0894,1.0576,-0.0481,1.06
1.465590,0.1024,1.0422,-0.0486,1.05
1.481706,0.1241,1.0493,-0.0423,1.06
1.503898,0.1153,1.0583,-0.0906,1.07
1.519463,0.0454,1.0410,-0.1292,1.05
1.548004,-0.1581,1.0078,-0.1500,1.03
1.565831,-0.2607,0.9897,-0.1774,1.04
1.581722,-0.2580,1.0083,-0.1908,1.06
1.606165,-0.1300,1.0197,-0.1576,1.04
1.623324,-0.0007,1.0185,-0.1065,1.02
1.648466,0.0843,0.9909,-0.0689,1.00
1.666358,0.0916,0.9760,-0.0572,0.98
1.683051,0.0428,0.9667,-0.0447,0.97
1.703587,-0.0381,0.9499,-0.0379,0.95
1.724402,-0.0877,0.9157,-0.0176,0.92
1.750014,-0.0877,0.8934,0.0054,0.90
1.766267,-0.0691,0.9113,0.0327,0.91
1.788511,-0.0440,0.9552,0.0579,0.96
1.804000,-0.0447,0.9826,0.0454,0.98
1.815931,-0.0393,0.9938,0.0161,0.99
1.851190,-0.0831,1.0119,-0.0330,1.02
1.866730,-0.0965,1.0148,-0.0313,1.02
1.887984,-0.1092,1.0012,-0.0083,1.01
1.907165,-0.0901,0.9970,0.0291,1.00
1.934532,-0.0782,0.9782,0.0596,0.98
1.949830,-0.0743,0.9653,0.0735,0.97
1.968068,-0.0701,0.9479,0.0816,0.95
1.984295,-0.0452,0.9640,0.0858,0.97
2.006818,-0.0254,0.9802,0.0704,0.98
2.027890,-0.0232,0.9892,0.0562,0.99
2.050318,-0.0279,1.0002,0.0493,1.00
2.067868,-0.0401,1.0080,0.0489,1.01
2.084852,-0.0535,1.0185,0.0594,1.02
2.107571,-0.0701,1.0476,0.0577,1.05
2.127260,-0.0772,1.0644,0.0354,1.07
2.150921,-0.0953,1.0974,0.0296,1.10
2.168546,-0.1170,1.1187,0.0408,1.13
2.188356,-0.1268,1.1702,0.0623,1.18
2.207708,-0.1349,1.1871,0.0498,1.20
2.237488,-0.1153,1.0940,-0.0652,1.10
2.252366,-0.0887,0.9953,-0.1366,1.01
2.270838,-0.0523,0.9569,-0.1212,0.97
2.284361,-0.0154,0.9743,-0.1080,0.98
2.302866,0.0899,0.9970,-0.1356,1.01
2.322350,0.1791,1.0117,-0.1627,1.04
2.351244,0.1695,1.0488,-0.0860,1.07
2.367487,0.1182,1.0789,-0.0672,1.09
2.396704,0.0547,1.1155,-0.0860,1.12
2.404535,0.0061,1.1023,-0.0772,1.11
2.434950,-0.0992,1.0569,-0.0606,1.06
2.452938,-0.0701,0.9750,-0.1065,0.98
2.468254,-0.0203,0.9076,-0.1112,0.91
2.490560,0.0733,0.8661,-0.0542,0.87
2.509145,0.1393,0.8688,-0.0029,0.88
2.541598,0.1344,0.8888,-0.0139,0.90
2.552421,0.1344,0.8910,-0.0220,0.90
2.569744,0.1397,0.8861,-0.0303,0.90
2.585898,0.1578,0.8871,-0.0325,0.90
2.606627,0.1647,0.9037,-0.0166,0.92
2.636194,0.1595,0.9347,0.0222,0.95
2.651993,0.1507,0.9438,0.0359,0.96
2.669750,0.1463,0.9311,0.0498,0.94
2.686994,0.1344,0.9269,0.0726,0.94
2.707492,0.0987,0.9467,0.0980,0.96
2.735688,0.0469,1.0119,0.1014,1.02
2.752806,0.0310,1.0547,0.0616,1.06
2.770293,0.0247,1.0730,0.0171,1.07
2.791436,0.0203,1.0859,-0.0059,1.09
2.819924,0.0752,1.1087,0.0413,1.11
2.835832,0.1029,1.1324,0.1063,1.14
2.853622,0.1011,1.1492,0.2094,1.17
2.870190,0.0948,1.1714,0.2756,1.21
2.891259,0.1356,1.1976,0.2573,1.23
2.919575,0.1730,1.1111,-0.0708,1.13
2.937931,0.1178,1.0527,-0.2670,1.09
2.954873,0.0103,1.0126,-0.3836,1.08
2.988853,-0.1305,1.0635,-0.3164,1.12
3.009293,-0.1231,1.0148,-0.1835,1.04
3.028567,-0.0503,0.9621,-0.0474,0.96
3.037194,-0.0073,0.9596,-0.0154,0.96
3.053671,0.0674,0.9694,-0.0178,0.97
3.088124,0.1605,1.0329,-0.1134,1.05
3.107846,0.1060,0.9736,-0.1441,0.99
3.132578,-0.0435,0.9098,-0.0870,0.91
3.141885,-0.0735,0.8993,-0.0577,0.90
3.154330,-0.0892,0.9003,-0.0210,0.90
3.188661,-0.0684,0.9240,0.0129,0.93
3.208135,-0.0371,0.9315,0.0034,0.93
3.225599,-0.0305,0.9450,-0.0181,0.95
3.238402,-0.0293,0.9572,-0.0384,0.96
3.271868,-0.0545,0.9635,-0.0567,0.97
3.287918,-0.0652,0.9508,-0.0503,0.95
3.310952,-0.0713,0.9284,0.0112,0.93
3.330953,-0.0672,0.9223,0.0596,0.93
3.339664,-0.0691,0.9259,0.0743,0.93
3.371950,-0.0733,0.9618,0.0804,0.97
3.388345,-0.0804,0.9977,0.0528,1.00
3.411487,-0.0723,1.0596,0.0068,1.06
3.422597,-0.0706,1.0713,-0.0149,1.07
3.438980,-0.0777,1.0647,-0.0310,1.07
3.471972,-0.0728,1.0676,0.0393,1.07
3.490137,-0.0459,1.0964,0.0919,1.10
3.510627,0.0335,1.1592,0.1424,1.17
3.530246,0.0748,1.1964,0.1222,1.20
3.539038,0.0672,1.1920,0.0958,1.20
3.572244,-0.0577,1.1062,-0.0884,1.11
3.589948,-0.0833,1.0508,-0.1652,1.07
3.610774,-0.0640,1.0139,-0.1148,1.02
3.632777,0.0782,1.0288,-0.1578,1.04
3.657561,0.2338,1.0439,-0.2336,1.09
3.673969,0.2656,1.0427,-0.2106,1.10
3.691342,0.1791,1.0603,-0.1490,1.09
3.711943,0.0474,1.0999,-0.0831,1.10
3.725835,-0.0376,1.1004,-0.0655,1.10
3.741069,-0.1258,1.1008,-0.0621,1.11
3.775328,-0.1681,1.0134,-0.0848,1.03
3.790441,-0.0877,0.9203,-0.0811,0.93
3.811867,0.0352,0.8294,-0.0005,0.83
3.829521,0.0977,0.8209,0.1026,0.83
3.857385,0.1478,0.8065,0.1038,0.83
3.874892,0.1522,0.8021,0.0520,0.82
3.890374,0.1544,0.7952,0.0237,0.81
3.911388,0.1424,0.8480,0.0586,0.86
3.929503,0.1268,0.9064,0.1383,0.93
3.958211,0.1097,0.9692,0.1972,1.00
3.974018,0.1224,0.9799,0.1493,1.00
3.995865,0.1297,0.9709,0.0601,0.98
4.007089,0.1270,0.9596,0.0523,0.97
4.024633,0.0858,0.9672,0.0880,0.97
4.057704,0.0259,1.0349,0.1124,1.04
4.074655,0.0506,1.0671,0.0823,1.07
4.105423,0.0914,1.1074,0.0630,1.11
4.115926,0.1180,1.0930,0.0774,1.10
4.142044,0.1029,1.1084,0.1556,1.12
4.157876,0.0601,1.1326,0.2067,1.15
4.176180,0.0445,1.1524,0.2419,1.18
4.191773,0.0909,1.1834,0.2069,1.20
4.212767,0.1761,1.1685,0.0322,1.18
4.229397,0.1803,1.0969,-0.1200,1.12
4.258535,0.0525,0.9650,-0.1935,0.99
4.276191,-0.0203,0.9486,-0.2350,0.98
4.291951,-0.0542,1.0136,-0.2717,1.05
4.313557,-0.0787,1.0754,-0.2360,1.10
4.330761,-0.0906,1.0586,-0.1505,1.07
4.359079,-0.0474,1.0515,-0.0288,1.05
4.376385,-0.0447,1.0217,-0.0151,1.02
4.397678,-0.0244,0.9684,-0.0430,0.97
4.416691,-0.0337,0.9108,-0.0493,0.91
4.442102,-0.0591,0.8517,-0.0193,0.85
4.459817,-0.0413,0.8485,0.0281,0.85
4.476000,-0.0281,0.8790,0.0567,0.88
4.493142,-0.0239,0.9025,0.0498,0.90
4.514690,-0.0178,0.9257,0.0081,0.93
4.532818,-0.0450,0.9455,0.0083,0.95
4.560702,-0.0870,0.9457,0.0205,0.95
4.575762,-0.0850,0.9496,0.0261,0.95
4.597512,-0.1029,0.9618,0.0379,0.97
4.617114,-0.1344,0.9635,0.0305,0.97
4.642982,-0.1295,0.9679,0.0684,0.98
4.659999,-0.1261,0.9824,0.1073,1.00
4.676637,-0.1063,0.9921,0.1204,1.01
4.697022,-0.0621,1.0170,0.1202,1.03
4.714174,-0.0535,1.0302,0.1070,1.04
4.744342,-0.0919,1.0534,0.0308,1.06
4.759938,-0.1107,1.0647,0.0205,1.07
4.777511,-0.1334,1.0911,0.0603,1.10
4.794029,-0.1407,1.1399,0.1033,1.15
4.817492,-0.0877,1.2355,0.1363,1.25
4.848241,-0.0354,1.2489,-0.0061,1.25
4.859497,-0.0129,1.1856,-0.1617,1.20
4.876445,0.0181,1.0622,-0.3349,1.11
4.893041,0.0423,1.0302,-0.3025,1.07
4.927848,0.1932,1.0031,-0.1327,1.03
4.943513,0.2287,0.9963,-0.0621,1.02
4.960488,0.1813,1.0192,-0.0129,1.04
4.977998,0.0723,1.0368,-0.0396,1.04
5.015795,-0.1251,1.0654,-0.1114,1.08
5.016898,-0.1327,1.0676,-0.1102,1.08
5.047501,-0.1131,1.0031,-0.0669,1.01
5.061352,-0.0525,0.9225,-0.0704,0.93
5.079627,0.0418,0.8458,-0.0313,0.85
5.117358,0.1705,0.8128,0.1043,0.84
5.118027,0.1705,0.8128,0.1043,0.84
5.144013,0.1251,0.8258,0.0972,0.84
5.161743,0.0909,0.8565,0.0650,0.86
5.178504,0.0877,0.8695,0.0283,0.87
5.199534,0.1182,0.8939,-0.0007,0.90
5.228268,0.1444,0.9530,0.0440,0.96
5.245612,0.1217,0.9755,0.0796,0.99
5.262138,0.0865,0.9912,0.1011,1.00
5.279982,0.1094,0.9701,0.0982,0.98
5.317514,0.0850,0.9892,0.1195,1.00
5.330388,0.0599,1.0163,0.1366,1.03
5.345930,0.0493,1.0454,0.1290,1.05
5.363294,0.0508,1.0696,0.0767,1.07
5.379754,0.0564,1.0891,0.0479,1.09
5.418215,0.0322,1.1321,0.1529,1.14
5.432667,-0.0071,1.1649,0.2365,1.19
5.445862,-0.0213,1.1736,0.2866,1.21
5.462676,0.0112,1.1903,0.2675,1.22
5.496205,0.2028,1.1448,-0.1165,1.17
5.519166,0.1835,1.0644,-0.3858,1.15
5.534261,0.0794,1.0317,-0.4341,1.12
5.546136,-0.0217,1.0613,-0.3968,1.13
5.563922,-0.1234,1.0603,-0.2695,1.10
5.596102,-0.1449,0.9919,0.0010,1.00
5.618882,-0.0401,0.9885,0.0042,0.99
5.634407,0.0428,0.9975,-0.0347,1.00
5.646446,0.1026,1.0029,-0.0596,1.01
5.680191,0.1713,0.9648,-0.0904,0.98
5.697342,0.0796,0.8815,-0.0826,0.89
5.718164,-0.0159,0.8177,-0.0088,0.82
5.737723,-0.0655,0.8123,0.0711,0.82
5.745810,-0.0677,0.8321,0.0892,0.84
5.765426,-0.0718,0.9164,0.0689,0.92
5.802414,-0.0645,0.9442,-0.0740,0.95
5.820394,-0.0801,0.9494,-0.0765,0.96
5.830319,-0.0923,0.9540,-0.0662,0.96
5.847005,-0.1236,0.9587,-0.0261,0.97
5.880334,-0.1241,0.9574,0.0569,0.97
5.897788,-0.0814,0.9648,0.0616,0.97
5.918416,-0.0335,0.9711,0.0772,0.97
5.934786,-0.0181,0.9833,0.0814,0.99
5.947669,-0.0171,1.0031,0.0667,1.01
5.982087,-0.0469,1.0889,0.0305,1.09
5.998116,-0.0525,1.1209,0.0105,1.12
6.018415,-0.0557,1.1346,0.0037,1.14
6.037719,-0.0677,1.1204,0.0603,1.12
6.064096,-0.0704,1.0691,0.1730,1.09
6.082552,-0.0493,1.0852,0.2399,1.11
6.098661,-0.0244,1.1223,0.2438,1.15
6.120831,-0.0142,1.1465,0.0684,1.15
6.133688,-0.0257,1.1211,-0.0875,1.12
6.148904,-0.0679,1.0564,-0.2394,1.09
6.182254,0.0000,0.9760,-0.2299,1.00
6.198629,0.1222,1.0004,-0.1561,1.02
6.219887,0.2402,1.0234,-0.0657,1.05
6.237193,0.2538,1.0456,-0.0415,1.08
6.250173,0.1610,1.0791,-0.0344,1.09
6.282303,-0.0994,1.1255,-0.0662,1.13
6.303413,-0.1595,1.1084,-0.0682,1.12
6.323081,-0.1429,1.0219,-0.1014,1.04
6.332458,-0.1019,0.9562,-0.1170,0.97
6.366473,0.0887,0.8336,0.0303,0.84
6.382633,0.1234,0.8099,0.1285,0.83
6.404301,0.1283,0.7723,0.1647,0.80
6.422540,0.0985,0.8072,0.1295,0.82
6.431436,0.0794,0.8331,0.0933,0.84
6.466342,0.1070,0.9362,-0.0105,0.94
6.484018,0.1351,0.9699,-0.0173,0.98
6.501578,0.1456,0.9682,0.0188,0.98
6.521730,0.1322,0.9501,0.0884,0.96
6.539428,0.1187,0.9376,0.1346,0.95
6.566290,0.0909,0.9699,0.1063,0.98
6.583857,0.0533,0.9846,0.0779,0.99
6.601091,0.0530,1.0508,0.0550,1.05
6.623200,0.0662,1.1302,0.0325,1.13
6.642336,0.0745,1.1993,0.0579,1.20
6.666853,0.1341,1.2430,0.0894,1.25
6.684615,0.1151,1.2369,0.1400,1.25
6.700735,0.0872,1.2110,0.2240,1.23
6.721626,0.0909,1.1529,0.2646,1.19
6.741419,0.1544,1.0346,0.0826,1.05
6.767938,0.1014,0.9406,-0.1774,0.96
6.784415,0.0173,0.9025,-0.2338,0.93
6.800509,-0.0845,0.9675,-0.2443,1.00
6.823166,-0.1297,1.1331,-0.1954,1.16
6.842420,-0.0970,1.1150,-0.1307,1.13
6.868191,0.0222,1.0666,-0.0596,1.07
6.884411,0.0552,1.0224,-0.0376,1.02
6.906625,0.0704,0.9562,0.0073,0.96
6.926158,0.0652,0.9196,0.0181,0.92
6.951774,-0.0191,0.8346,-0.0342,0.84
6.968386,-0.0535,0.7920,-0.0176,0.79
6.984789,-0.0643,0.7845,0.0283,0.79
7.006479,-0.0611,0.8673,0.0611,0.87
7.027281,-0.0735,0.9411,-0.0017,0.94
7.051683,-0.0955,0.9584,-0.0728,0.97
7.068718,-0.1402,0.9670,-0.0564,0.98
7.086623,-0.1779,0.9650,-0.0171,0.98
7.102542,-0.1659,0.9635,0.0081,0.98
7.122679,-0.1341,0.9675,0.0530,0.98
7.141404,-0.0980,0.9755,0.0933,0.98
7.168234,-0.0437,1.0156,0.1307,1.02
7.185804,-0.0227,1.0390,0.1029,1.04
7.202292,-0.0293,1.0522,0.0520,1.05
7.222502,-0.0537,1.0637,0.0032,1.07
7.242486,-0.0965,1.0776,0.0415,1.08
7.268846,-0.1016,1.0991,0.1314,1.11
7.286943,-0.0325,1.1302,0.1725,1.14
7.307595,0.0501,1.1456,0.2133,1.17
7.327677,0.0955,1.1534,0.1644,1.17
7.352801,-0.0186,1.0566,-0.0860,1.06
7.368950,-0.0520,0.9968,-0.2184,1.02
7.387303,0.0415,1.0246,-0.2306,1.05
7.402803,0.1454,1.0942,-0.1739,1.12
7.424237,0.3005,1.1419,-0.0889,1.18
7.444712,0.3071,1.1343,-0.0293,1.18
7.470132,-0.0616,1.1182,-0.0027,1.12
7.486350,-0.2221,1.0999,-0.0156,1.12
7.509544,-0.2573,1.0156,-0.0914,1.05
7.523396,-0.1923,0.9249,-0.1385,0.95
7.553641,0.0044,0.7383,-0.0154,0.74
7.569656,0.0760,0.7319,0.0999,0.74
7.586227,0.1344,0.7422,0.1647,0.77
7.604807,0.1945,0.8067,0.1586,0.84
7.635854,0.1820,0.9166,0.0596,0.94
