time,gFx,gFy,gFz,TgF
0.003536,0.0022,1.0056,0.0677,1.01
0.020449,-0.0005,0.9995,0.0704,1.00
0.029516,-0.0015,1.0012,0.0762,1.00
0.048747,-0.0093,1.0017,0.0677,1.00
0.079758,-0.0166,1.0034,0.0794,1.01
0.095824,-0.0159,0.9980,0.0845,1.00
0.112900,-0.0100,0.9946,0.0850,1.00
0.129751,-0.0029,0.9946,0.0801,1.00
0.165475,-0.0112,1.0073,0.0694,1.01
0.179812,-0.0120,1.0021,0.0694,1.00
0.196101,-0.0086,1.0041,0.0645,1.01
0.213383,-0.0044,1.0017,0.0625,1.00
0.230074,0.0034,0.9973,0.0562,1.00
0.249100,0.0105,1.0012,0.0523,1.00
0.279869,0.0051,0.9968,0.0860,1.00
0.297002,-0.0540,0.9992,0.0826,1.00
0.313719,0.0107,0.9914,0.0840,1.00
0.330116,-0.0007,1.0029,0.0743,1.01
0.349802,-0.0122,1.0061,0.0696,1.01
0.380105,0.0073,1.0192,0.0181,1.02
0.397169,0.0515,1.0056,-0.0076,1.01
0.414038,0.0540,0.9887,-0.0002,0.99
0.430498,0.0322,0.9775,0.0247,0.98
0.463768,-0.0647,0.9701,0.0364,0.97
0.480612,-0.1610,0.9633,-0.0200,0.98
0.497517,-0.2526,0.9567,-0.0537,0.99
0.513787,-0.2927,0.9613,-0.0159,1.01
0.547941,-0.2604,1.0229,0.0843,1.06
0.567165,-0.1925,1.0530,0.0139,1.07
0.585969,-0.0921,1.0811,-0.0638,1.09
0.599033,-0.0501,1.0811,-0.0848,1.09
0.614404,-0.0403,1.0603,-0.0447,1.06
0.648775,-0.0799,1.0241,0.0958,1.03
0.670214,-0.0992,0.9631,0.0821,0.97
0.682106,-0.0872,0.9398,0.0628,0.95
0.697938,-0.0599,0.9350,0.0486,0.94
0.715692,-0.0332,0.9452,0.0103,0.95
0.754624,-0.0476,1.0068,-0.1007,1.01
0.771785,-0.0687,1.0307,-0.1021,1.04
0.781995,-0.0603,1.0422,-0.0943,1.05
0.799008,-0.0694,1.0298,-0.0916,1.04
0.816991,-0.0217,1.0298,-0.0623,1.03
0.856302,-0.1336,1.0234,-0.0252,1.03
0.874280,-0.2450,0.9960,0.0022,1.03
0.882277,-0.2653,0.9909,0.0244,1.03
0.899766,-0.2607,0.9936,0.0484,1.03
0.918026,-0.2301,0.9999,0.0496,1.03
0.953998,-0.2050,1.0923,0.0694,1.11
0.970858,-0.2316,1.1712,0.0660,1.20
0.982674,-0.2431,1.2293,0.0286,1.25
1.000274,-0.2382,1.2782,-0.0596,1.30
1.020698,-0.2094,1.2628,-0.1586,1.29
1.056295,-0.1881,1.1040,-0.1932,1.14
1.068609,-0.2150,1.0952,-0.1798,1.13
1.083368,-0.2458,1.1551,-0.1695,1.19
1.100181,-0.2213,1.2144,-0.1937,1.25
1.134099,-0.0300,0.9733,-0.3862,1.05
1.150942,-0.0059,0.8565,-0.2724,0.90
1.173621,0.0567,0.8597,-0.1153,0.87
1.183165,0.0870,0.8854,-0.1488,0.90
1.200116,0.0948,0.9257,-0.2646,0.97
1.235522,0.0476,1.0405,-0.3039,1.09
1.251087,0.0305,1.0679,-0.2719,1.10
1.272126,0.0491,1.0911,-0.2543,1.12
1.286166,0.0635,1.1030,-0.2402,1.13
1.300919,0.0755,1.0982,-0.2196,1.12
1.335233,0.0300,1.0522,-0.1551,1.06
1.351624,0.0105,1.0266,-0.1444,1.04
1.374631,-0.0042,1.0046,-0.1385,1.01
1.388637,0.0176,0.9904,-0.1678,1.00
1.418642,0.0313,0.9965,-0.2829,1.04
1.437691,-0.0049,1.0339,-0.3012,1.08
1.452983,-0.0237,1.0784,-0.2353,1.10
1.471812,0.0127,1.0903,-0.1278,1.10
1.486914,0.0682,1.0642,-0.0425,1.07
1.518555,0.1546,0.9767,-0.0239,0.99
1.534553,0.1837,0.9428,-0.0515,0.96
1.557894,0.2057,0.9096,-0.0794,0.94
1.573056,0.2067,0.9044,-0.1190,0.94
1.584824,0.1849,0.9034,-0.1388,0.93
1.618845,0.0960,0.8800,-0.1532,0.90
1.637157,-0.0515,0.8008,-0.1366,0.81
1.652577,-0.1500,0.7356,-0.0906,0.76
1.672355,-0.1805,0.7185,-0.0537,0.74
1.688933,-0.1852,0.7510,-0.0958,0.78
1.718750,-0.0789,0.8746,-0.3960,0.96
1.737916,0.0191,0.9706,-0.6132,1.15
1.752295,0.0200,1.0180,-0.6051,1.18
1.773961,-0.0970,1.0718,-0.3684,1.14
1.789076,-0.1444,1.1155,-0.1986,1.14
1.819697,-0.2257,1.1995,-0.1659,1.23
1.836907,-0.2480,1.2318,-0.2560,1.28
1.853155,-0.2108,1.2206,-0.3017,1.27
1.875609,-0.0838,1.2318,-0.2971,1.27
1.889927,0.0213,1.2416,-0.2756,1.27
1.920113,0.0298,1.2152,-0.2626,1.24
1.936436,-0.0264,1.1890,-0.2573,1.22
1.959715,-0.0396,1.1079,-0.2030,1.13
1.973189,-0.0230,1.0556,-0.1686,1.07
1.987369,0.0034,1.0305,-0.1419,1.04
2.020156,-0.0398,0.9699,-0.1102,0.98
2.036809,-0.1397,0.9267,-0.1099,0.94
2.059020,-0.2485,0.8607,-0.1165,0.90
2.071768,-0.2712,0.7977,-0.1075,0.85
2.104810,-0.2722,0.6772,-0.0562,0.73
2.120989,-0.1908,0.7051,-0.0437,0.73
2.138260,-0.0696,0.7820,-0.0584,0.79
2.154275,0.0977,0.8575,-0.1329,0.87
2.174978,0.2717,0.8426,-0.2123,0.91
2.190797,0.2209,0.8143,-0.2067,0.87
2.220450,-0.0848,1.0009,-0.2582,1.04
2.238049,-0.1173,1.1617,-0.5499,1.29
2.255219,-0.1163,1.2122,-0.7720,1.44
2.275122,-0.0904,1.1453,-0.6608,1.33
2.304328,0.0103,1.0390,-0.3156,1.09
2.322482,0.1725,0.9704,-0.2162,1.01
2.339179,0.3144,0.9320,-0.1940,1.00
2.355476,0.3369,0.9657,-0.1918,1.04
2.376028,0.1908,1.0134,-0.1793,1.05
2.393694,0.0088,1.0327,-0.1639,1.05
2.421881,-0.1735,1.0012,-0.1361,1.03
2.438402,-0.1908,0.9806,-0.1236,1.01
2.454768,-0.1148,0.9333,-0.1571,0.95
2.478023,0.0684,0.8624,-0.1937,0.89
2.504516,0.1297,0.8951,-0.1835,0.92
2.522658,0.0999,0.9147,-0.1940,0.94
2.538827,0.0501,0.9047,-0.1879,0.93
2.560541,0.0073,0.8675,-0.1407,0.88
2.578318,0.0410,0.8578,-0.1031,0.86
2.606048,0.1493,0.8824,-0.1419,0.91
2.622048,0.1781,0.9181,-0.1688,0.95
2.638960,0.1661,0.9628,-0.1556,0.99
2.661179,0.1075,1.0222,-0.1175,1.03
2.677498,0.0860,1.0537,-0.1016,1.06
2.705941,0.0919,1.0818,-0.0965,1.09
2.722193,0.0906,1.0869,-0.0989,1.10
2.739930,0.0542,1.0857,-0.0914,1.09
2.756191,0.0257,1.1013,-0.1195,1.11
2.790522,-0.0076,1.0332,-0.4544,1.13
2.810484,-0.0567,1.0105,-0.6042,1.18
2.821971,-0.0428,1.0757,-0.6086,1.24
2.840067,-0.0899,1.2223,-0.5380,1.34
2.875089,-0.1046,1.1150,-0.3638,1.18
2.893086,-0.1041,1.0046,-0.2421,1.04
2.905969,-0.0999,0.9482,-0.1986,0.97
2.923941,-0.1011,0.8829,-0.1695,0.90
2.941727,-0.0689,0.9269,-0.1256,0.94
2.978368,-0.0403,0.9384,-0.1959,0.96
2.993114,-0.0379,0.9105,-0.1920,0.93
3.006563,-0.0506,0.8932,-0.1717,0.91
3.024294,-0.1029,0.8556,-0.1693,0.88
3.041588,-0.1737,0.8138,-0.1827,0.85
3.067293,-0.1747,0.7942,-0.1507,0.83
3.090235,-0.1168,0.8008,-0.1214,0.82
3.108117,-0.0594,0.7764,-0.1107,0.79
3.124751,-0.0349,0.7466,-0.0818,0.75
3.140582,-0.0701,0.7439,-0.0298,0.75
3.164693,-0.1764,0.8077,-0.0129,0.83
3.190261,-0.1962,0.9567,-0.1600,0.99
3.209004,-0.1356,1.0657,-0.2272,1.10
3.224735,-0.1051,1.1074,-0.2113,1.13
3.241529,-0.1065,1.1165,-0.1695,1.13
3.263659,-0.1258,1.1160,-0.1094,1.13
3.291811,-0.0730,1.2049,-0.0540,1.21
3.309125,-0.0300,1.2706,-0.0547,1.27
3.326290,-0.0181,1.3163,-0.0872,1.32
3.358421,-0.1581,1.3312,-0.1871,1.35
3.378214,-0.3291,1.2198,-0.2900,1.30
3.396629,-0.2963,1.1209,-0.2976,1.20
3.408528,-0.2248,1.0723,-0.2238,1.12
3.442455,0.0230,1.0039,-0.3794,1.07
3.459448,0.1170,0.9907,-0.5189,1.12
3.480336,0.1842,0.9826,-0.4735,1.11
3.496019,0.2108,0.9745,-0.3755,1.07
3.508135,0.1805,0.9755,-0.3125,1.04
3.542096,0.0066,0.9528,-0.1957,0.97
3.558792,-0.0227,0.9171,-0.1703,0.93
3.581413,0.0029,0.8648,-0.1688,0.88
3.595669,0.0151,0.8797,-0.1427,0.89
3.608633,0.0300,0.9127,-0.1363,0.92
3.642246,0.0403,0.9538,-0.2521,0.99
3.661021,0.0061,0.8773,-0.2216,0.90
3.681049,0.0037,0.8030,-0.0901,0.81
3.700208,0.0005,0.7788,-0.0017,0.78
3.709765,-0.0208,0.7798,0.0081,0.78
3.743129,-0.0232,0.8204,-0.0765,0.82
3.766344,0.0046,0.8302,-0.1031,0.84
3.784084,0.0225,0.8675,-0.1287,0.88
3.792744,0.0203,0.8954,-0.1427,0.91
3.809774,0.0237,0.9521,-0.1678,0.97
3.844704,0.1434,1.0378,-0.1053,1.05
3.861482,0.1925,1.1209,-0.0511,1.14
3.882486,0.2384,1.2264,-0.0459,1.25
3.901548,0.2746,1.2364,-0.1639,1.28
3.910610,0.2646,1.2096,-0.2235,1.26
3.945585,0.1087,1.2042,-0.1867,1.22
3.960422,-0.0100,1.2015,-0.1478,1.21
3.981767,-0.0953,1.0571,-0.1461,1.07
3.996656,-0.0261,0.9887,-0.1686,1.00
4.027091,-0.1178,1.0102,-0.5104,1.14
4.045434,-0.2194,1.1331,-0.6220,1.31
4.061646,-0.2194,1.2523,-0.5433,1.38
4.083290,-0.1520,1.2440,-0.4681,1.34
4.096562,-0.0789,1.1629,-0.4263,1.24
4.128203,0.0210,0.9279,-0.2529,0.96
4.144094,0.0103,0.8900,-0.1769,0.91
4.167253,-0.0432,0.9042,-0.1649,0.92
4.186903,-0.0501,0.8873,-0.2123,0.91
