time,gFx,gFy,gFz,TgF
0.010041,0.0022,1.0197,-0.1490,1.03
0.035592,0.0266,1.0056,-0.1053,1.01
0.058768,0.0327,0.9924,-0.0936,1.00
0.076065,0.0330,0.9821,-0.0926,0.99
0.092649,0.0210,0.9780,-0.0777,0.98
0.111987,-0.0012,0.9882,-0.0667,0.99
0.142710,-0.0068,1.0613,-0.1178,1.07
0.159234,0.0584,1.0447,-0.1959,1.06
0.176462,0.0936,0.9995,-0.2470,1.03
0.192844,0.0823,0.9772,-0.2157,1.00
0.212373,0.0374,0.9706,-0.0919,0.98
0.243013,-0.0205,0.9709,-0.0051,0.97
0.260180,-0.0115,0.9936,-0.0662,1.00
0.276758,0.0071,1.0065,-0.1256,1.01
0.293282,0.0193,1.0139,-0.1681,1.03
0.314325,0.0210,1.0219,-0.1713,1.04
0.342699,0.0156,1.0217,-0.1244,1.03
0.360613,0.0225,1.0126,-0.1068,1.02
0.376540,0.0391,1.0019,-0.1285,1.01
0.393637,0.0508,0.9912,-0.1573,1.00
0.413293,0.0420,0.9892,-0.1468,1.00
0.443383,0.0188,1.0041,-0.0931,1.01
0.460726,0.0181,1.0034,-0.0738,1.01
0.477182,0.0027,1.0009,-0.0880,1.00
0.493671,-0.0098,1.0070,-0.1173,1.01
0.527230,0.0166,1.0390,-0.1749,1.05
0.543718,0.0501,1.0346,-0.1698,1.05
0.562864,0.0821,1.0217,-0.1241,1.03
0.577838,0.0985,1.0124,-0.0811,1.02
0.595261,0.0965,1.0043,-0.0545,1.01
0.633446,-0.0154,1.0068,-0.1378,1.02
0.650552,-0.0520,1.0249,-0.1823,1.04
0.661168,-0.0567,1.0246,-0.1940,1.04
0.678777,-0.0376,1.0217,-0.1891,1.04
0.716856,-0.0032,0.9977,-0.1339,1.01
0.733352,0.0259,0.9921,-0.1212,1.00
0.745132,0.0584,0.9938,-0.1297,1.00
0.761660,0.1119,0.9960,-0.1507,1.01
0.779660,0.1248,0.9963,-0.1388,1.01
0.817691,0.0313,0.9640,-0.1656,0.98
0.832096,-0.0129,0.9714,-0.2018,0.99
0.845549,-0.0249,0.9880,-0.2211,1.01
0.862942,-0.0296,1.0163,-0.2194,1.04
0.880435,-0.0364,1.0444,-0.1791,1.06
0.925312,0.0176,0.9973,-0.1495,1.01
0.937340,0.0227,0.9762,-0.1319,0.99
0.945648,0.0105,0.9689,-0.1295,0.98
0.964188,-0.0107,0.9719,-0.1412,0.98
0.979550,0.0005,0.9894,-0.1429,1.00
1.014621,-0.0046,1.0141,-0.0955,1.02
1.034788,-0.0239,1.0212,-0.1239,1.03
1.048340,-0.0235,1.0188,-0.1549,1.03
1.063827,-0.0151,1.0124,-0.1673,1.03
1.080968,-0.0046,1.0014,-0.1493,1.01
1.113963,0.0252,0.9831,-0.0965,0.99
1.134741,0.0332,0.9701,-0.0948,0.98
1.148672,0.0447,0.9706,-0.0982,0.98
1.163929,0.0552,0.9682,-0.1082,0.98
1.198552,0.0305,0.9799,-0.0906,0.98
1.213800,0.0037,0.9992,-0.0821,1.00
1.236786,-0.0232,1.0210,-0.1065,1.03
1.249755,-0.0222,1.0195,-0.1280,1.03
1.263264,-0.0235,1.0139,-0.1463,1.02
1.297541,-0.0098,0.9850,-0.1124,0.99
1.313721,-0.0034,0.9770,-0.0953,0.98
1.337593,0.0166,0.9892,-0.1082,1.00
1.354399,0.0059,1.0078,-0.1346,1.02
1.364359,0.0000,1.0180,-0.1412,1.03
1.397405,-0.0088,1.0329,-0.0919,1.04
1.419820,0.0064,1.0139,-0.0762,1.02
1.430296,0.0213,1.0034,-0.0884,1.01
1.447250,0.0408,0.9841,-0.1195,0.99
1.472979,0.0286,0.9868,-0.1073,0.99
1.499422,0.0103,1.0012,-0.0928,1.01
1.516068,-0.0002,1.0090,-0.1024,1.01
1.541453,-0.0064,1.0012,-0.1241,1.01
1.550173,-0.0086,0.9955,-0.1324,1.00
1.567351,0.0002,0.9931,-0.1385,1.00
1.599699,0.0200,0.9894,-0.1422,1.00
1.616532,0.0340,0.9963,-0.1444,1.01
1.649337,0.0528,1.0173,-0.1307,1.03
1.649578,0.0528,1.0173,-0.1307,1.03
1.668843,0.0425,1.0141,-0.1222,1.02
1.698470,0.0369,1.0024,-0.1138,1.01
1.716069,0.0300,1.0034,-0.1165,1.01
1.730694,0.0266,1.0075,-0.1219,1.02
1.747497,0.0298,1.0068,-0.1317,1.02
1.766376,0.0406,1.0070,-0.1309,1.02
1.799475,0.0469,1.0173,-0.1390,1.03
1.815409,0.0393,1.0063,-0.1368,1.02
1.837716,0.0352,0.9948,-0.1287,1.00
1.851257,0.0332,0.9926,-0.1256,1.00
1.882583,0.0232,0.9941,-0.1190,1.00
1.900098,0.0227,0.9951,-0.1280,1.00
1.917701,0.0171,1.0002,-0.1358,1.01
1.937760,0.0225,1.0102,-0.1278,1.02
1.951124,0.0281,1.0080,-0.1195,1.02
1.982709,0.0257,1.0141,-0.1270,1.02
1.999783,0.0137,1.0131,-0.1395,1.02
2.019356,0.0059,1.0124,-0.1300,1.02
2.034725,0.0071,1.0070,-0.1119,1.01
