time,gFx,gFy,gFz,TgF
4.041473,0.2995,0.7952,0.6122,1.05
4.081201,0.1947,0.5822,0.5138,0.8
4.081593,0.1947,0.5822,0.5138,0.8
4.098285,0.2384,0.6716,0.6415,0.96
4.123806,0.3433,0.7261,0.655,1.04
4.147133,0.363,0.8087,0.7559,1.16
4.166169,0.2428,0.773,0.8055,1.14
4.191116,0.1725,0.6667,0.7434,1.01
4.208893,0.1451,0.5888,0.6665,0.9
4.225349,0.0037,0.5057,0.8018,0.95
4.241991,0.0232,0.4485,0.8258,0.94
4.26498,0.1241,0.4153,0.8338,0.94
4.291041,0.1102,0.4398,0.781,0.9
4.309262,0.1327,0.4654,0.815,0.95
4.325575,0.1358,0.461,0.8797,1
4.341941,0.0557,0.4314,0.8438,0.95
4.365083,-0.0442,0.3816,0.879,0.96
4.382971,-0.002,0.3613,0.7881,0.87
4.409493,-0.0237,0.3782,1.0075,1.08
4.425522,0.0073,0.3635,0.9552,1.02
4.449748,-0.0701,0.289,0.9008,0.95
4.461482,-0.042,0.3127,0.8609,0.92
4.492431,0.0555,0.2695,0.9719,1.01
4.509702,0.0129,0.2421,1.1138,1.14
4.525556,-0.0066,0.2138,1.0217,1.04
4.547574,-0.0112,0.1859,1.1184,1.13
4.561529,0.0032,0.1896,1.1194,1.14
4.59292,0.0493,0.1554,1.2188,1.23
4.609603,0.0445,0.1173,1.2926,1.3
4.627178,0.0078,-0.0112,1.017,1.02
4.643282,-0.1402,-0.0039,1.3219,1.33
4.666623,-0.01,-0.0606,1.1922,1.19
4.692697,0.1126,-0.1476,0.782,0.8
4.709555,0.1708,-0.0958,0.6044,0.64
4.72755,0.1138,0.042,0.9745,0.98
4.743459,-0.021,0.0073,1.0994,1.1
4.767604,-0.1754,-0.1339,1.1372,1.16
4.783596,-0.1173,-0.1725,1.1622,1.18
4.809857,0.1952,-0.194,1.0021,1.04
4.828253,0.2028,-0.1224,0.9985,1.03
4.843525,0.1178,-0.0472,0.9381,0.95
4.868628,-0.1041,0.0601,0.9653,0.97
4.89376,-0.1637,0.0457,0.9582,0.97
4.91084,-0.0364,-0.0215,0.9457,0.95
4.927148,0.055,-0.063,0.9792,0.98
4.964826,0.0293,-0.0586,1.0173,1.02
4.988049,-0.0022,-0.0533,0.9814,0.98
4.988287,-0.0022,-0.0533,0.9814,0.98
5.011074,0.0071,0.0137,1.0075,1.01
5.027564,0.053,0.0572,1.0361,1.04
5.0507,0.0406,-0.0977,0.9474,0.95
5.077376,0.0523,-0.1226,1.0224,1.03
5.094639,0.042,-0.1141,1.0002,1.01
5.111005,0.0384,-0.0599,0.9633,0.97
5.145655,0.0555,0.0244,0.9655,0.97
5.169325,0.138,0.0215,0.9733,0.98
5.181107,0.1385,0.0064,1.0034,1.01
5.194815,0.097,-0.0315,0.9943,1
5.211178,0.041,-0.0652,0.974,0.98
5.245379,-0.0005,-0.0762,0.974,0.98
5.2694,0.0423,-0.0618,0.9875,0.99
5.281163,0.0567,-0.0095,0.9975,1
5.294735,0.0213,-0.0474,0.9882,0.99
5.311969,0.0623,-0.0183,0.9953,1
5.346334,0.0559,-0.0467,1.0063,1.01
5.368878,0.0591,-0.0611,0.9354,0.94
5.38064,0.0406,-0.0669,0.9657,0.97
5.395561,0.0501,-0.0581,0.9719,0.97
5.413263,0.0623,-0.0528,0.964,0.97
5.467423,0.0591,-0.0376,1.0007,1
5.46795,0.0591,-0.0376,1.0007,1
5.482675,0.0621,-0.0442,0.9975,1
5.495618,0.0674,-0.0508,0.9899,0.99
5.512495,0.0596,-0.0474,0.9826,0.99
5.553967,0.0415,-0.0489,0.974,0.98
5.554322,0.0415,-0.0489,0.974,0.98
5.579627,0.0618,-0.0584,0.966,0.97
5.596794,0.0814,-0.0515,0.9775,0.98
5.61321,0.0772,-0.0589,1.0085,1.01
5.654673,0.0474,-0.0652,0.9955,1
5.654966,0.0474,-0.0652,0.9955,1
5.67953,0.0594,-0.0515,0.9963,1
5.696841,0.0555,-0.0481,0.9987,1
5.713511,0.0577,-0.0496,0.9868,0.99
5.754552,0.0596,-0.0542,0.9806,0.98
5.754824,0.0596,-0.0542,0.9806,0.98
5.779866,0.0603,-0.0579,0.9872,0.99
5.797615,0.0608,-0.0618,0.9814,0.99
5.814503,0.0608,-0.0628,0.985,0.99
5.847626,0.0728,-0.0567,0.985,0.99
5.87154,0.0677,-0.0581,0.9858,0.99
5.889452,0.0611,-0.0643,0.9797,0.98
5.897558,0.0618,-0.0657,0.9804,0.98
5.931631,0.0537,-0.0682,0.9802,0.98
5.947816,0.0655,-0.066,0.9836,0.99
5.989049,0.0657,-0.0657,0.9977,1
5.989458,0.0657,-0.0657,0.9977,1
6.003576,0.0691,-0.064,0.9919,1
6.030797,0.0647,-0.0662,0.9792,0.98
6.047688,0.0779,-0.0643,0.9714,0.98
6.071687,0.0464,-0.0757,0.965,0.97
6.083926,0.0428,-0.0586,0.9711,0.97
6.114774,0.0613,-0.0454,0.9826,0.99
6.131396,0.0679,-0.0555,0.9811,0.99
6.155536,0.0628,-0.0645,0.9865,0.99
6.173695,0.0608,-0.0689,0.989,0.99
6.181197,0.063,-0.0711,0.9907,1
6.214673,0.0596,-0.0691,0.9872,0.99
6.23229,0.0594,-0.0699,0.9806,0.98
6.255483,0.0591,-0.0713,0.9814,0.99
6.271277,0.0613,-0.0708,0.9806,0.99
6.281637,0.0633,-0.0716,0.9816,0.99
6.315578,0.0672,-0.0677,0.9716,0.98
6.33318,0.0523,-0.0743,0.9865,0.99
6.349584,0.0647,-0.0718,0.9977,1
6.373571,0.077,-0.0931,0.9789,0.99
6.385251,0.0816,-0.0767,0.9799,0.99
6.415907,0.042,-0.0638,0.9721,0.98
6.433814,0.063,-0.0706,0.9929,1
6.449308,0.0752,-0.074,0.9863,0.99
6.48541,0.0645,-0.0745,0.9755,0.98
6.485777,0.0625,-0.0748,0.976,0.98
6.508562,0.0655,-0.0728,0.9731,0.98
6.533081,0.0662,-0.0711,0.9784,0.98
6.554003,0.0628,-0.0718,0.9819,0.99
6.57088,0.0618,-0.0723,0.9831,0.99
6.59991,0.0655,-0.0723,0.9833,0.99
6.617416,0.0621,-0.0713,0.985,0.99
6.633853,0.0643,-0.0708,0.9804,0.99
6.670889,0.0652,-0.0694,0.986,0.99
6.693403,0.063,-0.0699,0.977,0.98
6.693771,0.063,-0.0682,0.975,0.98
6.717091,0.0682,-0.0652,0.974,0.98
6.733366,0.064,-0.065,0.9963,1
6.758495,0.0555,-0.0665,1.0046,1.01
6.783396,0.066,-0.0723,1.008,1.01
6.800689,0.0635,-0.0691,0.9379,0.94
6.817284,0.0506,-0.0743,0.9697,0.97
6.834686,0.0665,-0.0689,0.9767,0.98
6.876359,0.0665,-0.0601,0.9931,1
6.876616,0.0665,-0.0601,0.9931,1
6.901258,0.0569,-0.0606,0.9809,0.98
6.917594,0.0567,-0.0645,0.9843,0.99
6.935163,0.0608,-0.0687,0.9843,0.99
6.975607,0.0564,-0.0674,0.9816,0.99
6.976427,0.0559,-0.0667,0.9821,0.99
7.001104,0.0616,-0.0699,0.9731,0.98
7.017686,0.0647,-0.0662,0.9831,0.99
7.034907,0.0572,-0.0647,0.9679,0.97
7.059083,0.0603,-0.0628,0.9853,0.99
7.084943,0.0621,-0.0657,1.0092,1.01
7.101512,0.0672,-0.0623,0.9716,0.98
7.118765,0.0586,-0.0657,0.9875,0.99
7.161351,0.0579,-0.0618,0.9868,0.99
7.161851,0.0581,-0.0628,0.9863,0.99
7.180673,0.0611,-0.0696,0.9912,1
7.201508,0.0625,-0.0682,0.9777,0.98
7.219126,0.064,-0.0677,0.9792,0.98
7.259998,0.0603,-0.0611,0.985,0.99
7.260397,0.0603,-0.0611,0.985,0.99
7.28531,0.0572,-0.0669,0.9782,0.98
7.302892,0.0599,-0.0665,0.9804,0.98
7.318734,0.0611,-0.064,0.9836,0.99
7.360916,0.0603,-0.063,0.9819,0.99
7.36132,0.0603,-0.063,0.9819,0.99
7.385352,0.0606,-0.0652,0.9824,0.99
7.403029,0.0611,-0.0613,0.9855,0.99
7.41945,0.0608,-0.066,0.9838,0.99
7.453365,0.0606,-0.065,0.9846,0.99
7.477792,0.0572,-0.064,0.9831,0.99
7.490033,0.0569,-0.0647,0.9863,0.99
7.502593,0.0579,-0.0652,0.985,0.99
7.520073,0.0599,-0.0618,0.9868,0.99
7.553794,0.0625,-0.063,0.9753,0.98
7.577003,0.0613,-0.063,0.9863,0.99
7.588545,0.064,-0.063,0.9841,0.99
7.603249,0.0623,-0.0628,0.9762,0.98
7.620799,0.0606,-0.0657,0.9887,0.99
7.677409,0.0525,-0.0657,0.9997,1
7.677721,0.0525,-0.0657,0.9997,1
7.688804,0.0599,-0.0655,0.9943,1
7.703558,0.0581,-0.0669,0.9474,0.95
7.736874,0.0691,-0.0603,0.9855,0.99
7.754447,0.0691,-0.0591,0.9904,0.99
7.77875,0.0623,-0.0577,0.9943,1
7.790179,0.0633,-0.0564,0.9907,0.99
7.821113,0.0567,-0.0594,0.9846,0.99
7.838805,0.0545,-0.0613,0.9877,0.99
7.855065,0.0542,-0.0655,0.988,0.99
7.878529,0.0535,-0.0672,0.9877,0.99
7.890416,0.0557,-0.0679,0.9853,0.99
7.921658,0.0586,-0.0628,0.9782,0.98
7.938856,0.0557,-0.0625,0.976,0.98
7.961799,0.0564,-0.0577,1.0061,1.01
7.979596,0.0596,-0.0608,0.9574,0.96
7.987623,0.0579,-0.0633,0.9982,1
8.021792,0.0545,-0.064,0.9892,0.99
8.039625,0.0569,-0.0655,0.989,0.99
8.055167,0.0577,-0.063,0.9992,1
8.079398,0.0591,-0.0652,0.9841,0.99
8.097118,0.0584,-0.0672,0.9943,1
8.12226,0.0611,-0.0713,0.9858,0.99
8.138814,0.0562,-0.0706,0.9772,0.98
8.174424,0.0601,-0.0679,0.9828,0.99
8.174799,0.0601,-0.0679,0.9828,0.99
8.193659,0.0577,-0.0699,0.9804,0.98
8.222464,0.0525,-0.0689,0.9809,0.98
8.239381,0.0557,-0.0706,0.986,0.99
8.263536,0.0569,-0.0672,0.9828,0.99
8.281561,0.0596,-0.0682,0.9826,0.99
8.289079,0.0616,-0.0667,0.9836,0.99
8.322962,0.0577,-0.0691,0.9902,0.99
8.339614,0.0603,-0.0716,0.9848,0.99
8.364635,0.0562,-0.0745,0.9784,0.98
8.376933,0.0533,-0.0735,0.9794,0.98
8.391648,0.0574,-0.0728,0.9836,0.99
8.422676,0.0577,-0.0721,0.977,0.98
8.441199,0.0537,-0.075,0.9794,0.98
8.4573,0.0545,-0.0723,0.9958,1
8.481021,0.0567,-0.0723,0.9992,1
8.493272,0.0555,-0.0711,0.9697,0.97
8.523138,0.0569,-0.0713,0.9628,0.97
8.540793,0.0535,-0.0821,0.9689,0.97
8.557445,0.0638,-0.0694,0.9924,1
8.587351,0.0603,-0.0713,0.9762,0.98
8.602868,0.0542,-0.0689,0.9877,0.99
8.623267,0.0603,-0.0701,0.9831,0.99
8.640611,0.0562,-0.0745,0.9843,0.99
8.656817,0.0545,-0.0777,0.9877,0.99
8.681292,0.0484,-0.0789,0.988,0.99
8.693109,0.053,-0.0809,0.9868,0.99
8.724385,0.0579,-0.0799,0.9802,0.99
8.741547,0.0603,-0.0774,0.9767,0.98
8.764198,0.0555,-0.0762,0.9657,0.97
8.775657,0.0528,-0.0748,0.9811,0.99
8.808626,0.0528,-0.0787,0.9921,1
8.824942,0.0618,-0.0745,0.9833,0.99
8.841871,0.0535,-0.075,0.9894,0.99
8.865531,0.0533,-0.0733,0.9951,1
8.877204,0.0599,-0.074,0.9982,1
8.908636,0.0594,-0.0779,0.9914,1
8.925478,0.0596,-0.0752,0.9777,0.98
8.942319,0.0542,-0.076,0.976,0.98
8.966485,0.0552,-0.0765,0.9775,0.98
8.977457,0.0567,-0.0765,0.9784,0.98
9.008639,0.0589,-0.0733,0.9784,0.98
9.02508,0.0542,-0.0706,0.9821,0.99
9.042128,0.0564,-0.0701,0.9836,0.99
9.058758,0.0545,-0.0713,0.9819,0.99
9.105646,0.0581,-0.0711,0.9882,0.99
9.106235,0.0589,-0.0701,0.987,0.99
9.125145,0.0589,-0.0706,0.9833,0.99
9.142241,0.0572,-0.074,0.9797,0.98
9.158658,0.054,-0.0726,0.9802,0.98
9.180608,0.0606,-0.075,0.986,0.99
9.196427,0.0596,-0.0752,0.9784,0.98
9.226343,0.0547,-0.073,0.9826,0.99
9.242945,0.0572,-0.0728,0.9921,1
9.266562,0.0594,-0.0708,0.9662,0.97
9.277746,0.0523,-0.0689,1.0024,1.01
9.309264,0.0528,-0.0711,0.9635,0.97
9.326512,0.0525,-0.0721,0.9692,0.97
9.343572,0.0652,-0.0682,0.9892,0.99
9.368218,0.0581,-0.0662,0.9882,0.99
9.380365,0.0545,-0.064,0.9919,1
9.409704,0.0569,-0.0638,0.9799,0.98
9.426809,0.0564,-0.0696,0.9843,0.99
9.443484,0.0537,-0.0672,0.9855,0.99
9.468472,0.0525,-0.0699,0.9872,0.99
9.47919,0.0552,-0.0699,0.9838,0.99
9.510461,0.0564,-0.0711,0.9775,0.98
9.526874,0.0552,-0.0665,0.9758,0.98
9.544876,0.0579,-0.0662,0.9653,0.97
9.560808,0.0547,-0.065,1.0185,1.02
9.585515,0.0574,-0.0674,0.9709,0.97
9.602716,0.0596,-0.0669,0.9828,0.99
9.626936,0.053,-0.0662,0.9963,1
9.644149,0.0508,-0.0628,0.989,0.99
9.667494,0.0535,-0.065,0.9872,0.99
9.684535,0.0559,-0.0682,0.9946,1
9.710786,0.0589,-0.0708,0.9775,0.98
9.727458,0.0596,-0.0696,0.9775,0.98
9.745242,0.0545,-0.0682,0.9831,0.99
9.761148,0.0574,-0.066,0.9872,0.99
9.785395,0.0559,-0.0674,0.9799,0.98
9.810939,0.053,-0.0672,0.9816,0.99
9.828553,0.0547,-0.064,0.9863,0.99
9.845507,0.0515,-0.0621,0.9816,0.98
9.886724,0.0564,-0.0645,0.985,0.99
9.887042,0.0564,-0.0645,0.985,0.99
9.911572,0.0577,-0.0635,0.985,0.99
9.929153,0.0559,-0.0647,0.987,0.99
9.94547,0.0555,-0.0662,0.9865,0.99
9.968719,0.0559,-0.0691,0.9824,0.99
9.984391,0.0533,-0.0652,0.9809,0.98
10.012471,0.0562,-0.066,0.9843,0.99
